"mx_state","mx_municipality","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District Of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Aguascalientes","Aguascalientes",2.00662981876703e-05,8.7306402910367e-07,4.79221805507374e-05,5.58961770311095e-05,0.00125118995605669,0.000262850204129927,1.23637981419144e-05,6.17788450842045e-06,0,0.000152266865176621,9.83763410109225e-05,3.126171525913e-07,1.60611698775639e-05,0.000516054415453988,0.000457926701954256,3.87003254114973e-05,6.79302480891205e-05,5.8199839965783e-05,1.48857464281819e-05,0,7.13328687077414e-06,2.56217000196861e-06,3.96388980995848e-05,2.7382348365835e-05,8.22449438761122e-06,2.31643143090548e-05,7.36094381212668e-07,3.47379486627885e-05,0.000104188642955861,4.48380469377531e-07,7.09535453188883e-06,6.79686786002224e-05,1.42921213731857e-05,9.60834735448041e-05,1.73587981497385e-06,1.96329619922754e-05,0.000215022019036546,1.33775634977495e-05,1.19706510936043e-05,1.57804970730334e-07,3.09170044463338e-05,2.71453920899147e-06,7.42296412430296e-05,0.00108284923140393,6.20808732314106e-05,0,2.44595204315409e-05,5.58209930228148e-05,9.56871916852791e-07,5.00473547825735e-05,9.42531915489848e-06
"Aguascalientes","Asientos",9.34735694182563e-07,0,1.16320620807999e-06,9.4533212345506e-06,6.41068809015293e-05,2.6859625194553e-05,1.57804970730334e-07,0,0,9.63122428136048e-06,7.73292261934418e-06,0,5.83953198733964e-07,7.13474321049876e-05,1.59647695910567e-05,4.91018780861785e-07,4.31398689558302e-06,1.11899169813447e-06,4.34108088668056e-07,0,5.66878616584919e-07,0,1.27190589204708e-06,6.72572806054794e-07,6.22081908260079e-07,1.54812181860966e-07,0,1.09402084467049e-06,2.1443522619402e-06,0,1.32770527916862e-07,2.78975416082188e-06,2.90215380198202e-06,2.11970796381539e-05,0,6.7857108942137e-07,1.72382483388724e-05,4.43811482046901e-07,0,0,1.72183913331786e-06,0,8.45151733172391e-06,0.000126533048882229,5.83947580891595e-06,0,4.03975372002218e-07,1.47253976169146e-06,0,1.03102435205736e-06,3.67530135291331e-07
"Aguascalientes","Calvillo",4.16781428555654e-06,0,7.06190963685594e-06,7.27714807801701e-06,0.000258849127698901,8.21205968132753e-05,1.32770527916862e-07,3.11040954130039e-07,1.54812181860966e-07,2.08878149195114e-05,3.87924679873434e-05,1.32770527916862e-07,1.82119230760668e-05,0.000261825233339744,2.48020401849265e-05,3.2733015302328e-06,3.95206344865009e-05,2.25545606288243e-06,2.71140251243695e-06,0,6.89981883318785e-07,0,1.75634527045669e-06,6.47205082462745e-06,3.91852039449332e-06,3.55858721875562e-06,1.00877940505561e-06,2.53885516416621e-06,1.12656604514733e-05,0,0,5.37825380052411e-06,1.16211140715899e-06,4.34187461379525e-05,1.11467688758313e-06,3.36950814637548e-06,0.000342300943941678,6.91232724935507e-06,4.03975372002218e-07,0,1.36103787628481e-06,5.7151540920124e-06,6.26674354099476e-06,0.000122482294317874,2.04834264079745e-05,0,2.70043268422527e-06,1.41417068453251e-05,0,6.97268960085526e-06,5.98623663907868e-07
"Aguascalientes","Cosio",3.126171525913e-07,0,4.48380469377531e-07,4.9501180192603e-07,3.29131080005076e-05,4.53806618493668e-05,0,0,0,1.51408327225471e-06,6.45830962722751e-07,0,8.36376060151704e-07,3.68620086289847e-06,8.71535908511793e-07,0,1.55139238628396e-06,4.06777573441789e-07,3.11040954130039e-07,0,0,0,6.97941743983211e-07,0,0,2.08603700519704e-06,0,0,2.78706740677336e-05,0,0,8.89905933503876e-06,0,0,0,0,2.80683629577956e-06,1.57804970730334e-07,0,0,1.13399873355021e-07,0,8.02059734991825e-07,1.3276533299019e-05,1.76182987198786e-06,0,2.93377700086768e-07,1.13399873355021e-07,0,7.354817816151e-07,0
"Aguascalientes","El Llano",4.48189881947734e-07,0,2.5413026193631e-07,9.31706271982011e-07,9.5477161969084e-06,2.03004192720385e-06,0,1.54812181860966e-07,0,1.6968849491736e-05,7.93678363294961e-07,0,9.14233605368536e-07,4.02739796026235e-06,2.59103431582049e-05,2.90575498647196e-07,3.67530135291331e-07,0,2.90575498647196e-07,0,3.86900789853173e-07,0,0,0,4.68845924860373e-07,0,0,4.68845924860373e-07,2.90575498647196e-07,0,0,1.57804970730334e-07,0,1.66617787067045e-06,0,2.5413026193631e-07,7.74165738595075e-06,0,0,0,3.3778279746208e-07,0,2.7804798312841e-06,1.45208848188164e-05,7.17818527571828e-07,0,9.9118824201267e-07,1.54812181860966e-07,0,1.57804970730334e-07,0
"Aguascalientes","Jesus Maria",1.22991536351403e-06,0,4.15829347909199e-06,3.91263770849772e-06,0.000112380579610229,5.10348147068267e-05,1.54812181860966e-07,1.12267338157874e-06,0,1.0409991126808e-05,5.39249244696089e-06,0,1.14613162593095e-06,6.30494413399323e-05,2.34341159881911e-05,9.69708055997429e-06,4.00825583138e-06,4.64677471638953e-06,5.80960409864596e-07,0,1.32770527916862e-07,0,2.98987050073016e-06,8.46828075171062e-06,2.5413026193631e-07,1.12337009803531e-06,0,1.8121971205339e-06,4.58566798438943e-06,0,4.48189881947734e-07,1.37612377023383e-05,2.90575498647196e-07,6.28795650097414e-06,0,1.40805458766989e-06,1.49169175603789e-05,9.6894329501093e-07,0,0,1.60488877857589e-06,1.63936393633808e-06,4.51990592366791e-06,6.07707188284894e-05,4.5914907838772e-06,0,2.01563319161786e-06,6.28858895355452e-06,0,9.84935781866814e-07,6.66065494602954e-07
"Aguascalientes","Pabellon De Arteaga",1.03273175257592e-06,0,4.69327209198467e-06,1.30949172292391e-05,9.63196769257412e-05,5.41016448599004e-05,5.57211355401923e-07,0,1.54812181860966e-07,1.371890807845e-05,6.79103123394157e-06,0,1.54812181860966e-07,5.18633935486148e-05,9.63078671388375e-06,4.91134344488889e-06,5.70357133934062e-06,2.16403067450839e-05,1.55793565654028e-06,1.79977826731746e-07,3.84604717440376e-07,0,1.61369216244052e-06,0,9.63148304701991e-07,2.59423683877866e-06,0,6.78668911534672e-06,8.09436762874282e-06,0,1.57804970730334e-07,3.25441647718821e-06,9.14233605368536e-07,1.48251553183854e-05,0,1.37709395249017e-06,4.96382288845075e-05,1.61327015027275e-06,4.43811482046901e-07,0,2.91296005022584e-06,3.11040954130039e-07,5.02024624327979e-06,0.000178609877758534,1.11912138625691e-05,0,1.21041350689488e-06,1.00663079129901e-05,0,2.35080952788937e-06,3.9370727584768e-06
"Aguascalientes","Rincon De Romos",1.03131516216782e-06,7.68364147743444e-07,3.62174042036342e-06,3.84267689365037e-05,0.00013644859474682,0.000137366135610834,6.030020638087e-07,0,0,1.2590731320456e-05,6.6766420308471e-06,0,2.70560752212801e-06,3.36028770364702e-05,8.65612404377203e-06,5.0867782923627e-06,6.27834862516363e-06,1.11264291961676e-05,5.41669209504482e-06,0,3.3424910976193e-06,0,4.03857913547564e-06,1.14442422541238e-06,1.10349331444669e-06,1.17959179934586e-05,1.13399873355021e-07,3.9313594986535e-05,2.80270905927605e-05,0,7.6112882402614e-07,1.27858842902412e-05,1.31860706183518e-06,1.2981023252716e-05,0,6.92035422881926e-06,0.000175323171986931,2.56727677747182e-06,1.57804970730334e-07,0,5.76327975468142e-06,4.48189881947734e-07,1.33658743198115e-05,0.000157278746122888,2.8229425379535e-05,0,3.42350859256729e-06,4.56115107131207e-06,0,4.25688191311784e-06,1.89481621995637e-06
"Aguascalientes","San Francisco De Los Romo",3.12748354648609e-07,0,2.38245905764398e-06,3.87986239844546e-06,1.45396571534001e-05,9.41152996848956e-06,3.126171525913e-07,0,0,2.1140522110212e-06,5.82245798215394e-07,0,2.90575498647196e-07,3.58253857466987e-05,1.78699551685864e-06,3.19951937031383e-06,4.2614822800363e-07,1.85701670827815e-05,0,0,3.11040954130039e-07,0,1.57804970730334e-07,7.93547161237653e-07,0,1.08822585436155e-06,0,1.32770527916862e-07,1.57356524228537e-06,0,0,6.01616452777235e-07,2.90575498647196e-07,4.0098258313285e-07,0,1.32770527916862e-07,1.60487607294804e-06,0,0,0,1.32770527916862e-07,0,1.45506709507799e-06,1.48048368581281e-05,1.4856218239116e-06,0,4.2444082748506e-07,1.42861606185641e-06,0,4.68845924860373e-07,0
"Aguascalientes","San Jose De Gracia",2.87582709777829e-07,0,4.91018780861785e-07,0,4.73388795022833e-05,2.18256558946065e-06,0,0,1.57804970730334e-07,1.55290919937273e-06,1.67658843237299e-06,0,1.54812181860966e-07,2.12922880522188e-06,3.78940929188746e-07,4.48189881947734e-07,4.65853135991005e-07,0,1.79977826731746e-07,0,0,0,1.32770527916862e-07,0,0,0,0,6.70996607593532e-07,2.83068507178756e-06,0,0,4.65853135991005e-07,1.54812181860966e-07,0,0,3.86900789853173e-07,3.01106930600076e-06,4.65853135991005e-07,0,0,0,0,5.3674589991908e-07,5.84929826512864e-05,0,0,0,6.12472726292734e-06,0,3.98795753675895e-06,0
"Aguascalientes","Tepezala",4.51182670817101e-07,0,9.40530684491501e-07,1.72850862620365e-06,6.36120033952155e-05,4.7140430334057e-05,0,1.79977826731746e-07,0,2.08965509929182e-06,4.0098258313285e-07,0,1.10301191690643e-06,1.79614619714774e-06,2.65011342034239e-06,0,5.58918755920493e-07,4.68845924860373e-07,3.84604717440376e-07,0,0,0,0,0,0,1.13399873355021e-07,0,9.1575041845731e-07,1.0334284690325e-06,0,0,1.99476648147278e-06,1.54812181860966e-07,1.96539714512912e-06,0,3.81611928571009e-07,9.43204260485239e-06,1.25856790042227e-06,3.11040954130039e-07,0,2.71204844085355e-07,0,3.3778279746208e-07,2.56725703353757e-05,1.13968043542077e-05,0,0,1.57804970730334e-07,0,1.13399873355021e-07,8.07760156574639e-07
"Baja California","Ensenada",4.88896489790669e-06,2.25470211726057e-06,3.24559741443403e-05,2.6808709410983e-06,0.00112466475387774,1.44547087484275e-05,5.83953198733964e-07,1.09707301891234e-06,0,3.87599263277306e-05,1.39001960281953e-05,0,8.76474373714742e-06,3.25263548036821e-05,9.02585663159226e-06,3.75474264733377e-06,1.20570013163542e-05,1.31814959199827e-06,1.53345392681655e-06,0,9.12657406907275e-07,1.61297984129762e-06,2.05240537063506e-06,5.40674112678685e-06,9.14233605368536e-07,3.57856449934041e-06,6.94745662056206e-07,3.41009253636754e-06,6.15342057770023e-05,0,5.78863821151378e-06,7.1026228289159e-06,7.42168637267202e-06,1.39694287479424e-05,2.93377700086768e-07,2.97381442452479e-06,6.33763005703271e-06,3.9855935516147e-05,5.66545258054629e-06,0,8.063984264748e-06,1.06075898425876e-06,6.51956000858443e-06,5.44507503959035e-05,2.47589109719805e-05,0,4.89631600687425e-06,2.58214024906466e-05,4.73355526818515e-07,5.9625434445893e-06,5.00300663208194e-07
"Baja California","Mexicali",5.19444256078127e-06,8.91299290274757e-07,0.000270409321828714,4.40123804221793e-06,0.00271685490351903,3.0029503225702e-05,1.03062626759293e-06,1.83140061423395e-06,4.2614822800363e-07,2.08372727850732e-05,1.473568952865e-05,7.56428634638201e-07,1.65306295314827e-05,5.33036964118045e-05,1.42773603617474e-05,1.10567343035375e-05,9.87410955191419e-06,3.43487280240173e-06,2.13673119604939e-06,1.32770527916862e-07,1.890812747025e-06,9.58579317371361e-07,5.9615327605273e-06,4.89961471147135e-06,1.41517159966082e-06,5.32044549673932e-06,0,1.49738743889287e-05,0.000215323594010831,1.13399873355021e-07,2.953194513808e-06,1.09701742716634e-05,9.08138248730873e-06,1.85074699019297e-05,1.07783356640781e-06,4.93835217062806e-06,1.27502334132291e-05,2.76214753211902e-05,4.26835064241019e-06,0,6.896075112384e-06,0,8.7903549993878e-06,0.000107088620321652,5.02230607901932e-05,1.32770527916862e-07,4.02803529134644e-06,2.9412095848606e-05,0,1.23241997097403e-05,1.9566687513233e-06
"Baja California","Playas De Rosarito",0,0,5.9191305939839e-07,1.57804970730334e-07,3.85060048142372e-05,7.41758169464299e-07,0,0,0,4.73355526818515e-07,6.45830962722751e-07,0,1.57804970730334e-07,1.6976664874534e-06,2.5413026193631e-07,0,0,0,1.57804970730334e-07,0,0,0,6.47407161184013e-07,0,0,7.81463077451674e-07,0,1.79977826731746e-07,2.98536089877202e-06,0,0,1.07027179020781e-06,0,0,0,3.09624363721933e-07,0,2.90575498647196e-07,0,0,3.11040954130039e-07,0,3.11040954130039e-07,2.11398012002087e-06,4.2444082748506e-07,0,0,2.93377700086768e-07,0,1.10928830475563e-06,0
"Baja California","San Quintin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Tecate",2.5413026193631e-07,0,4.26437109718217e-06,1.2709056598522e-06,0.000154520115037659,4.06628317707119e-06,2.46170401271884e-07,0,0,1.02763347872356e-06,1.14600042387364e-06,0,1.03572454144529e-06,5.5393926571389e-06,2.42592108366512e-06,0,0,1.57804970730334e-07,1.32770527916862e-07,0,4.2444082748506e-07,0,1.2110021787891e-06,2.65541055833725e-07,0,2.5413026193631e-07,0,5.79253009346026e-07,8.66342074679493e-06,0,0,1.04652273574514e-06,9.8723185427961e-07,1.83649888808632e-06,0,3.67530135291331e-07,1.40554319634079e-06,1.115677119778e-06,4.2444082748506e-07,0,2.5413026193631e-07,0,1.91283722229123e-06,7.4652887841553e-06,3.54276284160373e-06,0,6.45830962722751e-07,1.33825292182116e-06,0,8.94994152864003e-07,0
"Baja California","Tijuana",1.60193442055849e-05,2.04379147261785e-06,8.20790631327409e-05,1.72077123892688e-05,0.00355064094653772,5.64014460036819e-05,5.48655305058437e-06,1.61497755079132e-06,6.7857108942137e-07,3.16790387502471e-05,4.21721288839782e-05,3.59570274626905e-07,2.40762679490018e-05,0.000142464338525833,2.55519492008145e-05,9.37477719268202e-06,2.32249348134917e-05,8.98060145958215e-06,3.7633737175174e-06,3.11040954130039e-07,2.5213515181761e-06,2.16267610024419e-06,1.38550175956932e-05,1.97948705675417e-05,3.82776337397064e-06,1.87300938935359e-05,7.45149042798095e-07,1.75404309699475e-05,0.000252802722085896,9.85321160703403e-07,1.37907758702834e-05,2.09913391748163e-05,2.22473354393189e-05,3.9487754303671e-05,7.85972679409815e-07,4.70552428547465e-06,2.21343080152342e-05,6.02527363578427e-05,7.90289502051113e-06,5.1476783532446e-07,1.14579538876532e-05,1.48391442339303e-06,2.74750647833618e-05,0.00020673218006119,0.000109044375985894,0,9.42097661081172e-06,5.39830673615264e-05,4.68845924860373e-07,3.78971122437426e-05,4.26630992243872e-06
"Baja California Sur","Comondu",1.23258636289629e-06,0,5.00018720052085e-06,1.57804970730334e-07,0.000114895801438163,4.38809966914145e-06,0,5.58787553863184e-07,0,3.72972647826909e-06,1.02068430212113e-06,1.54812181860966e-07,4.34108088668056e-07,5.19071194383165e-06,1.01213509503577e-06,7.56428634638201e-07,6.47152984404734e-07,0,1.32770527916862e-07,0,2.93377700086768e-07,0,3.12748354648609e-07,2.18172496531893e-06,9.31706271982011e-07,7.78470288582305e-07,0,7.41567582034502e-07,7.62180004351782e-06,1.57804970730334e-07,4.65853135991005e-07,2.54584080070845e-06,3.59570274626905e-07,3.45115094654887e-06,0,3.11040954130039e-07,1.08793504425108e-06,5.38464036178576e-06,7.78601490639614e-07,1.13399873355021e-07,6.80147287882631e-07,1.57804970730334e-07,2.51188239723153e-06,1.74030940309622e-05,3.89766105852304e-06,0,1.04652273574514e-06,5.017986982832e-06,0,8.12917815799494e-07,3.67530135291331e-07
"Baja California Sur","La Paz",2.24594746091037e-06,1.76928207841104e-07,7.08000227517552e-06,1.16307500602268e-06,0.000114159582895527,5.4510235237557e-06,0,1.32770527916862e-07,3.11040954130039e-07,7.09805651064774e-06,5.14076330725955e-06,0,1.22991536351403e-06,1.3537628127154e-05,2.90805606664493e-06,7.59230836077773e-07,1.17945287171516e-06,1.31719047142708e-06,1.57804970730334e-07,0,5.22342317152298e-07,1.32770527916862e-07,1.18912013289815e-06,1.00839402621902e-06,4.08942443797276e-07,4.23024237076954e-07,3.11040954130039e-07,8.28416199487277e-07,1.13974447294094e-05,0,1.96101101902829e-06,2.20638963398214e-06,1.26081688763677e-06,5.1871621369714e-06,1.54812181860966e-07,6.7857108942137e-07,1.36884378285062e-06,4.7998670664196e-06,5.41712971714139e-07,0,1.65919206073684e-06,0,1.81232832259121e-06,2.54779205934925e-05,9.63736209297756e-06,0,1.25742601430297e-06,3.48688001214988e-06,0,1.40506179880053e-06,3.09624363721933e-07
"Baja California Sur","Loreto",0,0,0,0,1.65541580856645e-06,2.26799746710042e-07,0,0,0,0,3.11040954130039e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.126171525913e-07,0,0,1.57804970730334e-07,0,0,0,0,0,0,0,0,0,0,0,2.68212055215988e-07,0,0,0,0,0,0,0
