period_date,year,quarter,year_quarter,us_state,remittances_musd
2013-01-01,2013,1,2013Q1,Alabama,46.995605
2013-01-01,2013,1,2013Q1,Alaska,8.924355
2013-01-01,2013,1,2013Q1,Arizona,121.102347
2013-01-01,2013,1,2013Q1,Arkansas,38.739154
2013-01-01,2013,1,2013Q1,California,1403.262699
2013-01-01,2013,1,2013Q1,Carolina Del Norte,132.649076
2013-01-01,2013,1,2013Q1,Carolina Del Sur,57.449641
2013-01-01,2013,1,2013Q1,Colorado,117.245123
2013-01-01,2013,1,2013Q1,Connecticut,15.838646
2013-01-01,2013,1,2013Q1,Dakota Del Norte,3.62542
2013-01-01,2013,1,2013Q1,Dakota Del Sur,3.065886
2013-01-01,2013,1,2013Q1,Delaware,9.4098
2013-01-01,2013,1,2013Q1,Florida,218.941865
2013-01-01,2013,1,2013Q1,Georgia,153.676744
2013-01-01,2013,1,2013Q1,Hawaii,3.315527
2013-01-01,2013,1,2013Q1,Idaho,19.133225
2013-01-01,2013,1,2013Q1,Illinois,259.211669
2013-01-01,2013,1,2013Q1,Indiana,56.093548
2013-01-01,2013,1,2013Q1,Iowa,21.464725
2013-01-01,2013,1,2013Q1,Kansas,39.895322
2013-01-01,2013,1,2013Q1,Kentucky,30.570408
2013-01-01,2013,1,2013Q1,Louisiana,58.049193
2013-01-01,2013,1,2013Q1,Maine,1.918004
2013-01-01,2013,1,2013Q1,Maryland,31.855097
2013-01-01,2013,1,2013Q1,Massachusetts,9.492873
2013-01-01,2013,1,2013Q1,Michigan,40.373004
2013-01-01,2013,1,2013Q1,Minnesota,71.828277
2013-01-01,2013,1,2013Q1,Mississipi,23.245973
2013-01-01,2013,1,2013Q1,Misuri,26.816833
2013-01-01,2013,1,2013Q1,Montana,0.975621
2013-01-01,2013,1,2013Q1,Nebraska,22.497815
2013-01-01,2013,1,2013Q1,Nevada,61.996394
2013-01-01,2013,1,2013Q1,No Identificado,436.990916
2013-01-01,2013,1,2013Q1,Nueva Jersey,89.916528
2013-01-01,2013,1,2013Q1,Nueva York,200.694085
2013-01-01,2013,1,2013Q1,Nuevo Hampshire,2.848132
2013-01-01,2013,1,2013Q1,Nuevo Mexico,38.907756
2013-01-01,2013,1,2013Q1,Ohio,43.093146
2013-01-01,2013,1,2013Q1,Oklahoma,51.828383
2013-01-01,2013,1,2013Q1,Oregon,67.16488
2013-01-01,2013,1,2013Q1,Pensilvania,45.970181
2013-01-01,2013,1,2013Q1,Puerto Rico,0.299995
2013-01-01,2013,1,2013Q1,Rhode Island,2.580926
2013-01-01,2013,1,2013Q1,Tennessee,66.986933
2013-01-01,2013,1,2013Q1,Texas,670.099246
2013-01-01,2013,1,2013Q1,Utah,47.224343
2013-01-01,2013,1,2013Q1,Vermont,0.974121
2013-01-01,2013,1,2013Q1,Virginia,49.38657
2013-01-01,2013,1,2013Q1,Washington,113.102348
2013-01-01,2013,1,2013Q1,"Washington, D.c.",3.287955
2013-01-01,2013,1,2013Q1,West Virginia,3.301347
2013-01-01,2013,1,2013Q1,Wisconsin,42.279023
2013-01-01,2013,1,2013Q1,Wyoming,7.547462
2013-04-01,2013,2,2013Q2,Alabama,60.555131
2013-04-01,2013,2,2013Q2,Alaska,12.480323
2013-04-01,2013,2,2013Q2,Arizona,134.002384
2013-04-01,2013,2,2013Q2,Arkansas,44.441293
2013-04-01,2013,2,2013Q2,California,1604.162014
2013-04-01,2013,2,2013Q2,Carolina Del Norte,177.421587
2013-04-01,2013,2,2013Q2,Carolina Del Sur,73.835277
2013-04-01,2013,2,2013Q2,Colorado,144.41304
2013-04-01,2013,2,2013Q2,Connecticut,21.490941
2013-04-01,2013,2,2013Q2,Dakota Del Norte,16.63853
2013-04-01,2013,2,2013Q2,Dakota Del Sur,4.181648
2013-04-01,2013,2,2013Q2,Delaware,13.283608
