"mx_state","mx_municipality","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District Of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Aguascalientes","Aguascalientes",1.32538583789085e-05,0,0.00011205534811259,3.73517827041968e-05,0.00145792442167994,0.000307248535147425,6.02448108132206e-06,3.61468864879324e-06,0,0.00013374348000535,0.000130128791356557,0,2.16881318927594e-05,0.000537383712453928,0.000373517827041968,3.37370940554035e-05,7.83182540571868e-05,6.50643956782783e-05,1.68685470277018e-05,0,6.02448108132206e-06,0,2.53028205415526e-05,1.92783394602306e-05,6.02448108132206e-06,2.40979243252882e-05,0,3.37370940554035e-05,0.00011205534811259,0,6.02448108132206e-06,8.91623200035665e-05,1.68685470277018e-05,0.000116874932977648,0,1.56636508114374e-05,0.000103621074598739,1.68685470277018e-05,7.22937729758647e-06,0,2.65077167578171e-05,2.40979243252882e-06,4.21713675692544e-05,0.00109886534923314,5.5425225948163e-05,0,2.40979243252882e-05,5.18105372993697e-05,0,4.33762637855188e-05,1.20489621626441e-05
"Aguascalientes","Asientos",0,0,3.61468864879324e-06,4.81958486505765e-06,6.74741881108071e-05,2.89175091903459e-05,0,0,0,1.68685470277018e-05,9.6391697301153e-06,0,1.20489621626441e-06,5.90399145969562e-05,1.56636508114374e-05,0,1.20489621626441e-06,0,0,0,1.20489621626441e-06,0,0,0,0,0,0,0,0,0,0,1.20489621626441e-05,3.61468864879324e-06,3.01224054066103e-05,0,0,1.32538583789085e-05,0,0,0,1.20489621626441e-06,0,3.61468864879324e-06,0.000125309206491499,3.61468864879324e-06,0,1.20489621626441e-06,1.20489621626441e-06,0,0,0
"Aguascalientes","Calvillo",0,0,1.56636508114374e-05,6.02448108132206e-06,0.000287970195687194,8.43427351385089e-05,0,0,0,1.80734432439662e-05,5.06056410831053e-05,1.20489621626441e-06,1.32538583789085e-05,0.000228930281090238,2.53028205415526e-05,2.40979243252882e-06,2.65077167578171e-05,2.40979243252882e-06,0,0,1.20489621626441e-06,0,2.40979243252882e-06,2.40979243252882e-06,1.20489621626441e-06,1.20489621626441e-06,0,3.61468864879324e-06,1.32538583789085e-05,0,0,6.02448108132206e-06,1.20489621626441e-06,6.50643956782783e-05,0,1.08440659463797e-05,0.000187963809737248,4.81958486505765e-06,1.20489621626441e-06,0,0,2.40979243252882e-06,0,0.000134948376221614,2.53028205415526e-05,0,0,1.92783394602306e-05,0,7.22937729758647e-06,0
"Aguascalientes","Cosio",0,0,2.40979243252882e-06,0,3.97615751367256e-05,4.57860562180477e-05,0,0,0,1.20489621626441e-06,0,0,2.40979243252882e-06,1.20489621626441e-06,2.40979243252882e-06,0,1.20489621626441e-06,0,0,0,0,0,0,0,0,1.20489621626441e-06,0,0,3.25321978391391e-05,0,0,1.32538583789085e-05,0,0,0,0,2.40979243252882e-06,0,0,0,0,0,0,1.32538583789085e-05,2.40979243252882e-06,0,0,0,0,1.20489621626441e-06,0
"Aguascalientes","El Llano",0,0,0,1.20489621626441e-06,7.22937729758647e-06,2.40979243252882e-06,0,0,0,1.32538583789085e-05,0,0,0,2.40979243252882e-06,2.0483235676495e-05,0,1.20489621626441e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20489621626441e-06,0,0,3.61468864879324e-06,0,0,0,1.20489621626441e-06,0,0,1.4458754595173e-05,1.20489621626441e-06,0,1.20489621626441e-06,1.20489621626441e-06,0,0,0
"Aguascalientes","Jesus Maria",1.20489621626441e-06,0,7.22937729758647e-06,1.20489621626441e-06,9.15721124360953e-05,4.33762637855188e-05,0,0,0,2.40979243252882e-06,4.81958486505765e-06,0,1.20489621626441e-06,5.06056410831053e-05,3.01224054066103e-05,9.6391697301153e-06,4.81958486505765e-06,1.20489621626441e-06,0,0,1.20489621626441e-06,0,1.20489621626441e-06,8.43427351385089e-06,0,2.40979243252882e-06,0,2.40979243252882e-06,3.61468864879324e-06,0,0,1.68685470277018e-05,0,1.4458754595173e-05,0,3.61468864879324e-06,1.08440659463797e-05,2.40979243252882e-06,0,0,0,0,1.20489621626441e-06,3.85566789204612e-05,3.61468864879324e-06,0,0,3.61468864879324e-06,0,2.40979243252882e-06,0
"Aguascalientes","Pabellon De Arteaga",0,0,8.43427351385089e-06,8.43427351385089e-06,7.5908461624658e-05,8.55476313547733e-05,0,0,0,2.0483235676495e-05,8.43427351385089e-06,0,1.20489621626441e-06,3.01224054066103e-05,2.40979243252882e-06,2.40979243252882e-06,6.02448108132206e-06,1.56636508114374e-05,1.20489621626441e-06,0,1.20489621626441e-06,0,0,0,0,3.61468864879324e-06,0,3.61468864879324e-06,4.81958486505765e-06,0,0,3.61468864879324e-06,0,1.4458754595173e-05,0,0,2.77126129740815e-05,0,1.20489621626441e-06,0,0,0,1.20489621626441e-06,0.00021567642271133,7.22937729758647e-06,0,1.20489621626441e-06,4.81958486505765e-06,0,3.61468864879324e-06,3.61468864879324e-06
"Aguascalientes","Rincon De Romos",0,1.20489621626441e-06,1.20489621626441e-05,3.61468864879324e-05,0.000155431611898109,0.000200012771899892,2.40979243252882e-06,0,0,1.08440659463797e-05,1.20489621626441e-05,0,2.40979243252882e-06,3.61468864879324e-05,9.6391697301153e-06,7.22937729758647e-06,3.61468864879324e-06,4.81958486505765e-06,2.40979243252882e-06,0,3.61468864879324e-06,0,3.61468864879324e-06,1.20489621626441e-06,2.40979243252882e-06,1.56636508114374e-05,0,4.21713675692544e-05,2.53028205415526e-05,0,0,2.16881318927594e-05,2.40979243252882e-06,1.4458754595173e-05,0,4.81958486505765e-06,0.000109645555680062,1.20489621626441e-06,0,0,4.81958486505765e-06,1.20489621626441e-06,2.40979243252882e-06,0.000171095262709546,2.65077167578171e-05,0,6.02448108132206e-06,9.6391697301153e-06,0,3.61468864879324e-06,0
"Aguascalientes","San Francisco De Los Romo",0,0,4.81958486505765e-06,4.81958486505765e-06,9.6391697301153e-06,1.20489621626441e-05,0,0,0,1.20489621626441e-06,1.20489621626441e-06,0,0,1.56636508114374e-05,2.40979243252882e-06,4.81958486505765e-06,2.40979243252882e-06,7.22937729758647e-06,0,0,0,0,0,1.20489621626441e-06,0,1.20489621626441e-06,0,0,0,0,0,2.40979243252882e-06,0,2.40979243252882e-06,0,0,2.40979243252882e-06,0,0,0,0,0,0,9.6391697301153e-06,0,0,0,1.20489621626441e-06,0,0,0
"Aguascalientes","San Jose De Gracia",2.40979243252882e-06,0,1.20489621626441e-06,0,3.73517827041968e-05,2.40979243252882e-06,0,0,0,2.40979243252882e-06,0,0,0,0,0,0,1.20489621626441e-06,1.20489621626441e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81958486505765e-06,0,0,0,0,2.40979243252882e-06,0,0,0,0,0,1.20489621626441e-06,5.18105372993697e-05,0,0,0,2.40979243252882e-06,0,6.02448108132206e-06,0
